регион;2016;2017;2018;2019;2020
Кировская обл;-5790;-8446;-11129;-9707;-12229
Нижегородская обл;-12554;-12961;-20129;-11677;-26394
Пензенская обл;-7177;-9871;-13552;-12540;-14665
Пермский край;-2312;-8975;-12322;-11540;-19999
Башкортостан;-4092;-3679;-12288;-12854;-24365
Марий Эл;-1181;-2351;-1953;-963;-4085
Мордовия;1088;-3485;-9552;-5307;-11232
Татарстан;16523;9031;4344;4260;-8768
Самарская обл;-2296;-10165;-10476;-3506;-25368
Саратовская обл;-8269;-16310;-22135;-18920;-26784
Удмуртия;-338;-3782;-5654;-6435;-7599
Ульяновская область;-4734;-6269;-8202;-8592;-11505
Чувашия;-765;-4746;-7722;-5577;-9943
