регион;2016;2017;2018;2019;2020
Кировская обл; 12   ; 13   ; 13   ; 12   ; 10   
Нижегородская обл; 10   ; 9   ; 9   ; 8   ; 10   
Пензенская обл; 16   ; 15   ; 13   ; 13   ; 14   
Пермский край; 12   ; 12   ; 11   ; 10   ; 9   
Башкортостан; 11   ; 12   ; 12   ; 11   ; 11   
Марий Эл; 14   ; 13   ; 11   ; 11   ; 11   
Мордовия; 15   ; 12   ; 14   ; 13   ; 14   
Татарстан; 11   ; 11   ; 9   ; 9   ; 8   
Самарская обл; 8   ; 7   ; 7   ; 6   ; 8   
Саратовская обл; 12   ; 12   ; 12   ; 11   ; 13   
Удмуртия; 10   ; 11   ; 10   ; 11   ; 9   
Ульяновская область; 8   ; 12   ; 10   ; 12   ; 9   
Чувашия; 15   ; 12   ; 13   ; 11   ; 9   
