регион;2016;2017;2018;2019;2020
Кировская обл;2317;2420;2475;2176;2113
Нижегородская обл;5010;4294;4358;3747;5530
Пензенская обл;3130;2827;2496;2387;3179
Пермский край;4364;4183;3781;3302;3658
Башкортостан;5652;6046;5901;5206;6503
Марий Эл;1239;1080;968;899;1086
Мордовия;1697;1348;1458;1310;1819
Татарстан;5124;4890;4149;3985;4399
Самарская обл;3599;3244;3194;2482;4017
Саратовская обл;4181;4042;3984;3605;5306
Удмуртия;1879;1995;1826;1966;1946
Ульяновская область;1502;2137;1746;1964;1904
Чувашия;2428;1918;2010;1702;1771
